,pid,rest-task_MPFC-PCC,rest-twitching_MPFC-PCC,task-twitching_MPFC-PCC,rest-task_MPFC-LP(L),rest-twitching_MPFC-LP(L),task-twitching_MPFC-LP(L),rest-task_MPFC-LP(R),rest-twitching_MPFC-LP(R),task-twitching_MPFC-LP(R),rest-task_PCC-LP(L),rest-twitching_PCC-LP(L),task-twitching_PCC-LP(L),rest-task_PCC-LP(R),rest-twitching_PCC-LP(R),task-twitching_PCC-LP(R),rest-task_LP(L)-LP(R),rest-twitching_LP(L)-LP(R),task-twitching_LP(L)-LP(R),rest-task_Averaged_CC,rest-twitching_Averaged_CC,task-twitching_Averaged_CC
0,200.0,-0.28349,0.035140000000000005,0.31863,-0.29579,0.01365000000000001,0.30944,-0.34455,0.12157000000000001,0.46612000000000003,-0.05285999999999991,-0.06474999999999997,-0.011890000000000067,-0.25761,0.14606000000000008,0.4036700000000001,-0.06861,0.16126000000000001,0.22987000000000002,-0.21714999999999995,0.06883,0.28597999999999996
1,201.0,0.22893000000000008,-0.10450999999999999,-0.33344000000000007,-0.11066000000000004,-0.37296000000000007,-0.26230000000000003,0.07544000000000001,0.09136,0.01591999999999999,0.492,0.028200000000000003,-0.4638,0.5812299999999999,0.31082999999999994,-0.27040000000000003,-0.06335000000000002,0.08704999999999996,0.15039999999999998,0.20060000000000006,0.006670000000000065,-0.19393
2,202.0,0.42149000000000003,0.47730000000000006,0.05581,0.33198,0.08994999999999997,-0.24203000000000002,0.55441,0.06418999999999997,-0.49022,0.015249999999999986,0.37246,0.35721,0.07561000000000007,0.36943000000000004,0.29381999999999997,0.32439000000000007,0.24069999999999991,-0.08369000000000015,0.28718999999999995,0.269,-0.01818999999999993
3,205.0,-0.11316000000000004,-0.38315,-0.26998999999999995,0.08116000000000007,0.0021700000000000053,-0.07899000000000006,0.18764000000000003,0.11689000000000005,-0.07074999999999998,0.3012699999999999,0.15764999999999996,-0.14361999999999997,0.31906999999999996,0.14805000000000001,-0.17101999999999995,0.3235300000000001,0.131,-0.1925300000000001,0.1832499999999999,0.028769999999999962,-0.15447999999999995
4,207.0,-0.09127000000000002,0.027380000000000015,0.11865000000000003,-0.08001000000000003,-0.06568000000000002,0.01433000000000001,0.25048000000000004,0.22661,-0.023870000000000002,0.018600000000000005,0.19081000000000004,0.17221000000000003,0.05341999999999997,0.12757999999999997,0.07416,0.06142000000000003,-0.394,-0.45542000000000005,0.03543000000000002,0.01878000000000002,-0.016649999999999998
5,1.0,-0.024349999999999983,0.55505,0.5794,0.13334999999999997,0.22296999999999995,0.08961999999999998,0.09945999999999999,0.06945999999999997,-0.030000000000000027,0.010059999999999958,-0.03550000000000009,-0.045560000000000045,0.12701000000000007,0.26,0.13298999999999994,-0.03666999999999998,0.09133000000000002,0.128,0.05148000000000008,0.19389,0.14240999999999993
6,2.0,-0.5315399999999999,-0.58507,-0.05353000000000008,0.09128000000000003,-0.12084,-0.21212000000000003,0.64635,-0.08155000000000001,-0.7279,-0.16109999999999997,-0.41039000000000003,-0.24929000000000007,0.18103000000000002,-0.60713,-0.78816,0.06713999999999998,0.055499999999999994,-0.011639999999999984,0.04885000000000006,-0.29159,-0.3404400000000001
7,3.0,0.442984,0.024339999999999973,-0.418644,0.024700000000000055,-0.08004999999999995,-0.10475000000000001,0.35879000000000005,0.05427000000000004,-0.30452,-0.12618000000000001,-0.24733,-0.12114999999999998,-0.17457000000000003,-0.22889,-0.05431999999999998,0.2477799999999999,-0.12617000000000012,-0.37395,0.12892000000000003,-0.10063999999999995,-0.22956
8,12.0,0.21111999999999997,0.16279,-0.04833,-0.115376,-0.12323400000000001,-0.007858000000000004,-0.05368999999999999,-0.18017,-0.12648,0.12614000000000003,0.26358000000000004,0.13744,0.10865000000000002,0.24239,0.13373999999999997,-0.10568,-0.16264999999999996,-0.056969999999999965,0.02853,0.03378999999999999,0.005259999999999987
9,13.0,-0.6084,-0.43461000000000005,0.17379,-0.579497,-0.23030699999999998,0.34919000000000006,-0.32536000000000004,-0.034170000000000034,0.29119,-0.062309999999999977,-0.22389000000000003,-0.16158000000000006,-0.555081,-0.41520100000000004,0.13988,-0.2421399999999999,-0.034030000000000005,0.2081099999999999,-0.39546000000000003,-0.2287,0.16676000000000002
10,14.0,-0.14721,0.198881,0.34609100000000004,-0.25094,0.16298,0.41392,-0.28375,0.10968,0.39343,-0.09654000000000001,-0.32839,-0.23185,-0.21625999999999995,-0.46384999999999993,-0.24758999999999998,-0.11047000000000007,-0.24352000000000007,-0.13305,-0.18418999999999996,-0.09403,0.09015999999999996
11,16.0,-0.06003900000000001,-0.12242900000000001,-0.06239,-0.21988000000000002,-0.18423,0.035650000000000015,-0.16046999999999997,0.12367600000000001,0.284146,0.13690000000000002,0.3077,0.17079999999999995,0.32925000000000004,0.63363,0.30438,0.46031999999999995,0.7671699999999999,0.30685,0.08101000000000003,0.25425000000000003,0.17324
12,17.0,-0.020439999999999903,-0.38776,-0.3673200000000001,-0.42030999999999996,-0.15822,0.26209,-0.15263,-0.17798000000000003,-0.02535000000000004,-0.37195999999999996,-0.23636000000000001,0.13559999999999994,-0.042240000000000055,-0.05909000000000009,-0.01685000000000003,0.08823000000000003,0.11996000000000007,0.031730000000000036,-0.15322000000000002,-0.14990000000000003,0.0033199999999999896
13,20.0,0.12508999999999992,0.31898,0.19389000000000006,0.17562999999999998,0.07932,-0.09630999999999998,-0.03746000000000005,0.44665999999999995,0.48412,-0.2433599999999999,0.045070000000000054,0.28842999999999996,-0.24997999999999998,0.34054,0.5905199999999999,-0.23761999999999994,0.07680000000000009,0.31442000000000003,-0.07795000000000007,0.21789999999999998,0.29585000000000006
14,21.0,-0.25003000000000003,-0.0007100000000000439,0.24931999999999999,-0.43029,-0.08082,0.34947,-0.31282000000000004,-0.14812000000000003,0.1647,-0.19387000000000004,-0.25038999999999995,-0.056519999999999904,-0.2063799999999999,-0.08953,0.1168499999999999,-0.0032400000000000206,0.10343000000000002,0.10667000000000004,-0.23276999999999998,-0.07768999999999998,0.15508
15,23.0,-0.03693999999999997,0.18342000000000003,0.22036,0.15424,0.090675,-0.063565,-0.030670000000000003,0.264336,0.295006,-0.10126999999999997,0.01434000000000002,0.11560999999999999,-0.38715,-0.14536000000000002,0.24179,-0.40378000000000003,-0.52085,-0.11707000000000001,-0.13426,-0.018900000000000028,0.11535999999999996
16,24.0,-0.26846999999999993,0.23727,0.50574,-0.4848699999999999,-0.020499999999999963,0.46436999999999995,-0.39312000000000014,0.28403,0.6771500000000001,-0.20135999999999993,0.42408700000000005,0.625447,-0.004709999999999992,0.47864,0.48335,-0.5649,-0.20439999999999992,0.36050000000000004,-0.3195800000000001,0.19984999999999997,0.5194300000000001
17,25.0,-0.21952000000000005,0.0045600000000000085,0.22408000000000006,-0.20921,-0.44898000000000005,-0.23977000000000004,-0.36395,-0.36275000000000013,0.0011999999999998678,-0.020419999999999994,-0.003070000000000017,0.017349999999999977,-0.23954000000000003,0.048329999999999984,0.28787,0.09382000000000001,-0.24700999999999995,-0.34082999999999997,-0.15981,-0.16815999999999998,-0.008349999999999969
18,10.0,-0.6830269999999999,-0.163617,0.5194099999999999,-0.29028000000000004,-0.009319999999999995,0.28096000000000004,-0.55183,-0.36032,0.19151000000000007,0.4486,0.44999,0.0013900000000000023,-0.01680999999999999,0.09103,0.10783999999999999,-0.41483,-0.5044200000000001,-0.08959000000000006,-0.25136000000000003,-0.08276999999999995,0.16859000000000007
19,11.0,-0.44853999999999994,-0.35134,0.09719999999999995,-0.622438,-0.433048,0.18939,-0.39615999999999996,-0.05610999999999999,0.34004999999999996,-0.06624000000000008,0.017999999999999905,0.08423999999999998,-0.44926999999999995,-0.29013,0.15913999999999995,-0.69382,-0.30362,0.3902,-0.44608000000000003,-0.23604000000000003,0.21004
20,7.0,0.04286999999999999,-0.13915999999999998,-0.18202999999999997,-0.46293,-0.5163,-0.05336999999999997,0.29096,0.15757,-0.13339,-0.38241,-0.016430000000000056,0.36597999999999997,-0.017890000000000017,-0.14236,-0.12446999999999997,-0.17992999999999998,-0.50326,-0.32333000000000006,-0.11823,-0.19333,-0.0751
21,8.0,-0.56057,-0.49883,0.06174000000000002,-0.49251999999999996,-0.79724,-0.30472,0.12197999999999998,-0.14389000000000002,-0.26587,-0.668667,-0.609577,0.059089999999999976,-0.25837,-0.39886,-0.14049,-0.6598658000000001,-0.6047758,0.05509000000000008,-0.41967,-0.50886,-0.08918999999999999
22,9.0,0.0078769,-0.10360699999999999,-0.1114839,-0.46024,-0.7225,-0.26226,-0.88718,-0.9288200000000001,-0.04164000000000012,-0.22662,-0.29758,-0.07096000000000002,0.38327,0.33636,-0.04691000000000001,-0.34718,-0.52579,-0.17861000000000005,-0.25500999999999996,-0.37365000000000004,-0.11864000000000002
23,4.0,-0.11874099999999999,0.6037790000000001,0.72252,-0.24639999999999995,0.26963000000000004,0.51603,0.18037999999999998,0.59582,0.41544000000000003,-0.40637,-0.14369999999999997,0.26267000000000007,-0.21614999999999995,0.17667,0.39281999999999995,-0.30801,-0.25121000000000004,0.05679999999999996,-0.18588,0.20849,0.39437
24,5.0,0.26211999999999996,0.35106,0.08894000000000002,0.34646,0.46712,0.12066,0.44699,0.531756,0.084766,-0.24587000000000003,-0.013700000000000045,0.23217,0.2699600000000001,0.6099300000000001,0.33996999999999994,-0.07025000000000003,-0.06218000000000001,0.008070000000000022,0.16824000000000006,0.31400000000000006,0.14576
25,6.0,-0.219377,-0.09141699999999998,0.12796000000000002,-0.014091999999999997,-0.508004,-0.49391199999999996,-0.33506,-0.2611,0.07396000000000003,-0.44604,-0.24042,0.20562000000000002,0.2001900000000001,-0.0948199999999999,-0.29501,-0.008769999999999945,-0.16879999999999995,-0.16003,-0.13718999999999998,-0.22743000000000002,-0.09024000000000004
26,19.0,-0.30003,0.23635,0.5363800000000001,-0.32797,-0.05917,0.26879999999999993,-0.027939999999999965,0.32127000000000006,0.34921,-0.5352600000000001,0.003159999999999996,0.53842,-0.45296,-0.19385999999999998,0.2591,-0.3943699999999999,-0.11631999999999998,0.2780499999999999,-0.33976000000000006,0.031899999999999984,0.37166000000000005
27,42.0,-0.242438,0.212412,0.45485,-0.52417,0.15204299999999998,0.6762130000000001,-0.51709,0.22680999999999996,0.7439,-0.16362,0.014680000000000026,0.17830000000000001,-0.26461000000000007,-0.010610000000000008,0.25400000000000006,-0.25372000000000006,0.1452,0.39892000000000005,-0.32761,0.12342000000000003,0.45103000000000004
28,43.0,-0.07422999999999996,-0.31366999999999995,-0.23944,0.15996999999999997,0.048219999999999985,-0.11174999999999999,-0.18041000000000007,0.24109999999999998,0.42151000000000005,0.42496999999999996,0.3469,-0.07807,0.27373000000000003,0.31743,0.04370000000000002,0.38983999999999996,-0.14382000000000006,-0.53366,0.16565000000000002,0.0827,-0.08295000000000002
29,44.0,-0.016429999999999986,0.18188100000000001,0.198311,-0.34130000000000005,0.13179999999999997,0.4731,0.298533,0.21680549999999998,-0.08172750000000001,-0.11428000000000002,-0.05859,0.05569000000000002,-0.027729999999999977,0.03810000000000002,0.06583,0.40808999999999995,0.32486,-0.08322999999999997,0.03448000000000001,0.13913999999999999,0.10465999999999998
30,45.0,-0.31934799999999997,-0.47509799999999996,-0.15575,-0.22962000000000002,-0.66727,-0.43765,-0.11068,-0.38922999999999996,-0.27854999999999996,-0.01146999999999998,0.05269999999999997,0.06416999999999995,0.16939999999999994,0.15301999999999993,-0.016380000000000006,0.09767999999999999,-0.025480000000000058,-0.12316000000000005,-0.06734000000000001,-0.22523000000000004,-0.15789000000000003
31,32.0,-0.40229000000000004,0.10246,0.50475,-0.572951,-0.36644099999999996,0.20651000000000003,-0.29376,-0.05456999999999998,0.23919,-0.4844399999999999,-0.15604,0.3283999999999999,-0.19204,0.12319999999999998,0.31523999999999996,0.04190000000000005,0.034499999999999975,-0.007400000000000073,-0.31727,-0.05281999999999998,0.26445
32,34.0,0.10913999999999999,0.389354,0.280214,-0.13494999999999996,0.04976999999999998,0.18471999999999994,0.05908000000000002,0.38550000000000006,0.32642000000000004,-0.07754000000000005,0.0932,0.17074000000000006,0.31058,0.611375,0.30079500000000003,0.34231999999999996,-0.31348000000000004,-0.6558,0.10144000000000003,0.20262000000000002,0.10117999999999999
33,38.0,-0.07956999999999997,-0.18146,-0.10189000000000004,0.06955,-0.18864999999999998,-0.2582,0.263778,0.05825999999999998,-0.20551800000000003,0.018320000000000003,-0.08897,-0.10729,0.42056000000000004,0.32863,-0.09193000000000007,0.38369000000000003,0.29159,-0.09210000000000002,0.17939,0.03656999999999999,-0.14282
34,39.0,-0.4144,-0.59119,-0.17678999999999997,-0.22262200000000001,-0.24910200000000002,-0.026480000000000004,-0.27287,-0.27637,-0.003500000000000003,-0.191492,-0.344942,-0.15345000000000003,-0.4152764,-0.3495664,0.06570999999999999,0.15423999999999993,0.08226999999999995,-0.07196999999999998,-0.22708,-0.28815,-0.06107000000000001
35,40.0,-0.27659999999999996,-0.5732,-0.2966000000000001,-0.43767599999999995,-0.33582599999999996,0.10185,0.21137000000000003,0.011250000000000038,-0.20012,-0.53779,-0.15652000000000005,0.38127,0.06447,-0.037150000000000016,-0.10162000000000002,0.0446,0.215721,0.17112100000000002,-0.15528000000000003,-0.14595999999999998,0.00932000000000005
36,15.0,-0.11663999999999997,0.60147,0.71811,-0.10103000000000006,0.5207229999999999,0.621753,-0.10075,0.47878,0.57953,-0.04027999999999998,-0.13054999999999994,-0.09026999999999996,-0.1028,0.23698999999999998,0.33979,0.26432999999999995,0.70199,0.43766000000000005,-0.03286,0.40157000000000004,0.43443000000000004
37,22.0,-0.016506000000000007,-0.035417000000000004,-0.018910999999999997,-0.06697,-0.16221,-0.09523999999999999,-0.20625,-0.43285999999999997,-0.22660999999999998,0.37436,0.16099000000000002,-0.21337,0.28002,0.11476999999999998,-0.16525,0.30702000000000007,0.36163,0.054609999999999936,0.11193999999999998,0.0011499999999999844,-0.11079
38,27.0,-0.30649,0.12036000000000002,0.42685,-0.07858000000000004,-0.40113000000000004,-0.32255,0.08596999999999999,-0.13591999999999999,-0.22188999999999998,-0.06835999999999998,-0.08435999999999999,-0.016000000000000014,0.09828999999999999,-0.030930000000000013,-0.12922,0.14975000000000005,0.11216000000000004,-0.03759000000000001,-0.019899999999999973,-0.06997000000000003,-0.05007000000000006
39,28.0,0.09148,0.16337000000000002,0.07189000000000001,-0.241642,-0.066552,0.17509,-0.05643999999999999,0.42741,0.48385,-0.74101,0.06561,0.80662,-0.5648110000000001,0.115898,0.680709,-0.01429999999999998,0.40814000000000006,0.42244000000000004,-0.25444999999999995,0.185648,0.440098
40,29.0,0.25386,0.03456999999999999,-0.21928999999999998,0.012510000000000021,0.09694000000000003,0.08443,0.14791999999999994,0.22566999999999998,0.07775000000000004,0.21640999999999996,-0.011910000000000032,-0.22832,0.20035000000000003,0.19439000000000006,-0.005959999999999965,0.04871000000000003,-0.18186000000000002,-0.23057000000000005,0.14662999999999998,0.05962999999999996,-0.08700000000000002
41,30.0,-0.08459000000000005,-0.11647000000000007,-0.03188000000000002,-0.17852999999999997,-0.51858,-0.3400500000000001,0.19083000000000006,-0.0031399999999999206,-0.19396999999999998,-0.08930000000000005,-0.013739999999999974,0.07556000000000007,0.1423000000000001,-0.12622,-0.2685200000000001,0.44955999999999996,0.16742999999999997,-0.28213,0.07170999999999994,-0.10179000000000005,-0.1735
42,31.0,-0.30083000000000004,-0.016729999999999995,0.2841,-0.66552,-0.92381,-0.25829,-0.401644,-0.917994,-0.5163500000000001,0.05060000000000009,0.24557,0.19496999999999992,0.31669,0.27072,-0.04597000000000001,-0.0823100000000001,-0.3102100000000001,-0.2279,-0.1805,-0.27541000000000004,-0.09491000000000005
43,33.0,-0.07447000000000001,-0.26814000000000004,-0.19367,-0.31267,-0.42354,-0.11087000000000002,-0.22161000000000003,-0.06377,0.15784000000000004,-0.48342700000000005,-0.510107,-0.026679999999999926,-0.41632,-0.41120999999999996,0.005110000000000059,-0.0011999999999999789,0.26288999999999996,0.26408999999999994,-0.25161999999999995,-0.23565000000000003,0.01596999999999993
44,35.0,-0.31485,-0.20020000000000002,0.11465,-0.27615,-0.08790999999999999,0.18824000000000002,-0.12478999999999998,-0.0031300000000000217,0.12165999999999996,0.07745000000000002,0.61895,0.5415,0.17464000000000002,0.5884500000000001,0.41381000000000007,0.32886000000000004,0.07710000000000006,-0.25176,-0.02246999999999999,0.16555000000000003,0.18802000000000002
45,36.0,0.06377,0.19456,0.13079000000000002,0.08437999999999996,0.10197,0.01759000000000005,0.17046999999999998,-0.0021200000000000108,-0.17259,-0.017670000000000075,0.33853999999999995,0.35621,-0.16057,0.04218999999999995,0.20275999999999994,0.010199999999999987,0.0018000000000000238,-0.008399999999999963,0.0250999999999999,0.11282999999999999,0.08773000000000009
46,37.0,0.10558000000000001,0.1109,0.005319999999999991,-0.03752,-0.14143000000000006,-0.10391000000000006,-0.38672999999999996,-0.19466999999999995,0.19206,-0.22570999999999997,-0.30469999999999997,-0.07899,0.08620999999999995,-0.22217000000000003,-0.30838,-0.07466000000000006,-0.16388000000000003,-0.08921999999999997,-0.08879999999999999,-0.15265000000000006,-0.06385000000000007
47,41.0,0.058106000000000005,0.041564000000000004,-0.016542,0.06824000000000008,0.15297000000000005,0.08472999999999997,-0.16690000000000005,0.07327999999999996,0.24018,-0.07480999999999999,0.00924999999999998,0.08405999999999997,0.13574999999999998,0.14417999999999997,0.008429999999999993,0.47312999999999994,0.2313599999999999,-0.24177000000000004,0.08224999999999999,0.10876999999999998,0.026519999999999988
48,46.0,0.020449999999999996,0.04886299999999999,0.028412999999999994,-0.26505999999999996,-0.07016999999999995,0.19489,0.14712999999999998,0.018950000000000022,-0.12817999999999996,0.3321,0.29988000000000004,-0.03222,0.241359,0.56993,0.328571,0.043139999999999956,0.09538999999999997,0.05225000000000002,0.08651999999999993,0.16047999999999996,0.07396000000000003
49,47.0,0.07494500000000001,-0.17613,-0.251075,-0.375126,-0.287926,0.0872,-0.24941000000000002,-0.17373,0.07568000000000003,0.27956000000000003,-0.004589999999999983,-0.28415,0.04691999999999999,-0.15609000000000003,-0.20301000000000002,-0.19271,-0.09369,0.09902,-0.06929999999999997,-0.14869,-0.07939000000000002
50,48.0,-0.06026999999999999,-0.11398999999999992,-0.053719999999999934,-0.24016000000000004,-0.18153000000000002,0.058630000000000015,-0.19899,-0.09062999999999999,0.10836000000000001,0.0030200000000000227,0.14754999999999996,0.14452999999999994,-0.005579999999999918,0.06578000000000006,0.07135999999999998,0.05018999999999996,0.33399,0.28380000000000005,-0.07528999999999997,0.02687000000000006,0.10216000000000003
51,49.0,0.10877,-0.19926,-0.30803,0.007379999999999942,-0.15746000000000004,-0.16484,0.11495,0.030139999999999945,-0.08481000000000005,0.40362699999999996,-0.10883999999999999,-0.512467,0.07546000000000003,0.13514000000000004,0.05968000000000001,0.4588,0.1491,-0.3097,0.19483,-0.025190000000000046,-0.22002000000000005
52,50.0,-0.059809999999999974,0.07082,0.13062999999999997,0.07103000000000004,-0.13283,-0.20386000000000004,0.18103000000000002,-0.03488999999999998,-0.21592,0.13704000000000005,0.03878000000000004,-0.09826000000000001,0.15409999999999996,0.26918,0.11508000000000002,0.3327,-0.2286999999999999,-0.5613999999999999,0.13601000000000008,-0.0029399999999999427,-0.13895000000000002
53,51.0,-0.08721000000000001,-0.037150000000000016,0.05005999999999999,0.20492,-0.15095000000000003,-0.35587,0.26932,-0.05459000000000003,-0.32391000000000003,-0.08575999999999995,0.25766,0.34341999999999995,-0.12973,0.020260000000000056,0.14999000000000007,-0.07702000000000009,0.21600999999999992,0.29303,0.015759999999999996,0.04188000000000003,0.026120000000000032
54,52.0,-0.14555,0.12936199999999998,0.274912,0.2089200000000001,-0.06589999999999996,-0.27482000000000006,0.05420999999999998,-0.3033100000000001,-0.35752000000000006,-0.22466999999999998,0.30293899999999996,0.527609,-0.2223,0.11495,0.33725,-0.2672899999999999,-0.25239,0.014899999999999913,-0.09945000000000004,-0.012390000000000012,0.08706000000000003
55,53.0,-0.07821999999999996,0.04781000000000002,0.12602999999999998,-0.30359,-0.23329999999999998,0.07029000000000002,-0.12563000000000002,-0.040720000000000034,0.08490999999999999,-0.03523999999999994,-0.22499999999999998,-0.18976000000000004,0.20466,0.019299999999999984,-0.18536000000000002,-0.07452999999999999,-0.04208999999999996,0.032440000000000024,-0.06875999999999999,-0.07900000000000001,-0.010240000000000027
