Participant_ID,rest-task_ACC-AInsula(L),rest-twitching_ACC-AInsula(L),task-twitching_ACC-AInsula(L),rest-task_ACC-AInsula(R),rest-twitching_ACC-AInsula(R),task-twitching_ACC-AInsula(R),rest-task_ACC-RPFC(L),rest-twitching_ACC-RPFC(L),task-twitching_ACC-RPFC(L),rest-task_ACC-RPFC(R),rest-twitching_ACC-RPFC(R),task-twitching_ACC-RPFC(R),rest-task_ACC-SMG(L),rest-twitching_ACC-SMG(L),task-twitching_ACC-SMG(L),rest-task_ACC-SMG(R),rest-twitching_ACC-SMG(R),task-twitching_ACC-SMG(R),rest-task_AInsula(L)-AInsula(R),rest-twitching_AInsula(L)-AInsula(R),task-twitching_AInsula(L)-AInsula(R),rest-task_AInsula(L)-RPFC(L),rest-twitching_AInsula(L)-RPFC(L),task-twitching_AInsula(L)-RPFC(L),rest-task_AInsula(L)-RPFC(R),rest-twitching_AInsula(L)-RPFC(R),task-twitching_AInsula(L)-RPFC(R),rest-task_AInsula(L)-SMG(L),rest-twitching_AInsula(L)-SMG(L),task-twitching_AInsula(L)-SMG(L),rest-task_AInsula(L)-SMG(R),rest-twitching_AInsula(L)-SMG(R),task-twitching_AInsula(L)-SMG(R),rest-task_AInsula(R)-RPFC(L),rest-twitching_AInsula(R)-RPFC(L),task-twitching_AInsula(R)-RPFC(L),rest-task_AInsula(R)-RPFC(R),rest-twitching_AInsula(R)-RPFC(R),task-twitching_AInsula(R)-RPFC(R),rest-task_AInsula(R)-SMG(L),rest-twitching_AInsula(R)-SMG(L),task-twitching_AInsula(R)-SMG(L),rest-task_AInsula(R)-SMG(R),rest-twitching_AInsula(R)-SMG(R),task-twitching_AInsula(R)-SMG(R),rest-task_Averaged_CC,rest-twitching_Averaged_CC,task-twitching_Averaged_CC,rest-task_RPFC(L)-RPFC(R),rest-twitching_RPFC(L)-RPFC(R),task-twitching_RPFC(L)-RPFC(R),rest-task_RPFC(L)-SMG(L),rest-twitching_RPFC(L)-SMG(L),task-twitching_RPFC(L)-SMG(L),rest-task_RPFC(L)-SMG(R),rest-twitching_RPFC(L)-SMG(R),task-twitching_RPFC(L)-SMG(R),rest-task_RPFC(R)-SMG(L),rest-twitching_RPFC(R)-SMG(L),task-twitching_RPFC(R)-SMG(L),rest-task_RPFC(R)-SMG(R),rest-twitching_RPFC(R)-SMG(R),task-twitching_RPFC(R)-SMG(R),rest-task_SMG(L)-SMG(R),rest-twitching_SMG(L)-SMG(R),task-twitching_SMG(L)-SMG(R)
1,0.787,0.72119,-0.06581000000000004,0.49305999999999994,0.68002,0.18696000000000002,0.060980000000000034,0.11244000000000004,0.051460000000000006,0.17979999999999996,0.67153,0.49173000000000006,0.03408,-0.04353000000000001,-0.07761000000000001,0.26730000000000004,0.2551300000000001,-0.012169999999999986,0.2217300000000001,0.52068,0.29894999999999994,0.08492,0.5516399999999999,0.46671999999999997,0.05094999999999994,0.40419,0.35324000000000005,-0.0017899999999999583,-0.1719799999999999,-0.17018999999999995,0.18708000000000002,0.060470000000000024,-0.12661,0.04191,0.25760000000000005,0.21569000000000005,0.09141999999999995,0.26200999999999997,0.17059000000000002,0.06252000000000002,0.016270000000000007,-0.04625000000000001,0.30393000000000003,0.22753,-0.07640000000000002,0.15949000000000002,0.22421000000000002,0.06472,0.059819999999999984,0.07674000000000003,0.016920000000000046,-0.42097999999999997,-0.13406,0.28691999999999995,0.11102999999999999,-0.18388,-0.29491,-0.06873000000000001,-0.03714999999999996,0.03158000000000005,0.19607000000000002,0.07512999999999997,-0.12094000000000005,0.6071500000000001,0.3863700000000001,-0.22077999999999998
2,0.41167000000000004,0.008929999999999993,-0.40274000000000004,0.27551999999999993,-0.15583000000000002,-0.43134999999999996,0.40844,0.14088,-0.26756,0.28919000000000006,-0.11582999999999999,-0.40502000000000005,-0.25133,-0.383824,-0.132494,-0.39921409999999996,-0.83701,-0.4377959,-0.0033000000000000806,-0.12206000000000006,-0.11875999999999998,0.32593,-0.11799000000000004,-0.44392000000000004,0.30823999999999996,-0.21248000000000006,-0.5207200000000001,-0.606162,-0.09424500000000001,0.511917,-0.10619999999999999,-0.31144000000000005,-0.20524000000000003,0.4455,0.07983000000000007,-0.36566999999999994,0.42096999999999996,-0.030710000000000015,-0.45167999999999997,-0.50066,-0.46671,0.03395000000000001,-0.285511,-0.909571,-0.6240600000000001,0.0325,-0.19073999999999997,-0.22323999999999997,0.024330000000000074,-0.14822999999999997,-0.17256000000000005,-0.287633,-0.297337,-0.009703999999999997,-0.1661987,-0.3937387,-0.22754,-0.069166,0.008008999999999988,0.077175,-0.049329999999999985,-0.37182,-0.32249,0.49736,0.72558,0.22822
3,-0.27080000000000004,0.039939999999999976,0.31074,0.3827,0.10831999999999997,-0.27438,0.030710000000000015,0.09239000000000008,0.06168000000000007,0.31411,0.10011999999999999,-0.21399,0.35074,0.06956000000000001,-0.28118,0.20115,0.18409999999999999,-0.01705000000000001,0.32675999999999994,0.18665999999999994,-0.1401,0.3158099999999999,0.34836999999999996,0.03256000000000003,0.15439999999999998,0.22284999999999994,0.06844999999999996,0.36539,0.26986,-0.09553,0.42136,0.21528000000000003,-0.20607999999999999,0.53761,0.23738000000000004,-0.30023,0.55065,0.21919999999999995,-0.33145,0.4246500000000001,0.22386000000000006,-0.20079000000000002,0.54375,0.39186,-0.15188999999999997,0.30351000000000006,0.19221,-0.11130000000000007,0.15400999999999998,0.006199999999999983,-0.14781,0.45125,0.09648999999999996,-0.35476,0.27540000000000003,0.11771000000000004,-0.15769,0.54737,0.16581999999999997,-0.38155000000000006,0.007310000000000039,0.23789000000000005,0.23058,0.28925999999999996,0.50253,0.21327000000000007
4,0.50782,0.41214000000000006,-0.09567999999999999,0.7712,0.5554300000000001,-0.21577,0.508225,-0.33116999999999996,-0.839395,0.5094190000000001,-0.26461999999999997,-0.774039,0.7228600000000001,0.554774,-0.16808599999999999,0.03592999999999996,0.24883999999999998,0.21291000000000002,0.52554,-0.12080000000000002,-0.64634,0.33654999999999996,-0.19740000000000002,-0.5339499999999999,0.40396,0.16135,-0.24260999999999996,0.26424000000000003,-0.05418999999999996,-0.31843,0.032949999999999924,0.13039999999999996,0.09745000000000004,0.14999999999999997,0.050799999999999956,-0.09920000000000001,0.4591299999999999,0.21727999999999992,-0.24185,-0.12871999999999995,-0.31187999999999994,-0.18316,0.57637,-0.14260000000000006,-0.7189700000000001,0.30827,0.051100000000000034,-0.25716999999999995,0.37668999999999997,-0.059390000000000054,-0.43608,0.030490000000000017,0.43359,0.40309999999999996,-0.050970000000000015,0.09131,0.14228000000000002,0.12426999999999999,-0.051080000000000014,-0.17535,0.20094,0.018649999999999944,-0.18229000000000006,0.11673,-0.26824000000000003,-0.38497000000000003
5,-0.21566000000000007,0.17280999999999996,0.38847000000000004,0.01770000000000005,0.36555000000000004,0.34785,-0.015210000000000057,0.73714,0.7523500000000001,0.00024999999999997247,0.25715,0.2569,0.054868600000000003,0.180179,0.1253104,-0.06521000000000002,0.135353,0.20056300000000002,-0.07901999999999998,0.08152000000000004,0.16054000000000002,0.2545700000000001,0.575589,0.321019,-0.08538000000000001,0.22455,0.30993000000000004,-0.013010000000000077,0.027409999999999934,0.04042000000000001,-0.35728000000000004,-0.19008999999999998,0.16719000000000006,0.30552,0.75012,0.4446,0.06931000000000004,0.595638,0.526328,0.09725999999999996,0.23095999999999994,0.13369999999999999,-0.23067000000000004,-0.02982000000000007,0.20084999999999997,0.02122999999999997,0.30192,0.28069000000000005,0.20216,0.24128000000000005,0.039120000000000044,0.31274,0.4627467,0.15000670000000002,0.11515000000000003,0.5379,0.42275,-0.028819999999999957,0.25436,0.28317999999999993,0.13153000000000004,0.6202230000000001,0.48869300000000004,-0.024959999999999982,0.10965000000000003,0.13461
6,0.34209,0.37509000000000003,0.03300000000000003,0.3019900000000001,0.18910000000000005,-0.11289000000000005,-0.14516,-0.46966,-0.3245,0.12658999999999998,-0.06457000000000002,-0.19116,0.20509,0.2599100000000001,0.05482000000000009,0.32308000000000003,0.24248000000000003,-0.0806,0.02261000000000002,-0.03852,-0.06113000000000002,-0.22707,-0.06842999999999999,0.15864,0.21524,0.007899999999999963,-0.20734000000000002,0.13209000000000004,0.14409000000000005,0.01200000000000001,0.18829000000000007,0.04439000000000004,-0.14390000000000003,-0.06508000000000003,-0.26183999999999996,-0.19675999999999993,0.5635699999999999,0.04735999999999996,-0.5162100000000001,0.24995,0.35536999999999996,0.10541999999999996,0.2413400000000001,0.17347000000000012,-0.06786999999999999,0.15262999999999993,0.019789999999999974,-0.13283999999999996,0.08950999999999998,-0.48129,-0.5708,-0.19289,0.10319,0.29608,-0.10769000000000001,-0.19845999999999997,-0.09076999999999996,0.33424,0.14176,-0.19247999999999998,0.32426,-0.11764000000000002,-0.44190000000000007,0.28330999999999995,0.03200000000000003,-0.2513099999999999
7,-0.6277900000000001,-0.70685,-0.07905999999999991,-0.5662400000000001,-0.81904,-0.2527999999999999,-0.52684,-0.7106600000000001,-0.18381999999999998,-0.3359,-0.9537800000000001,-0.61788,-0.42175999999999997,-0.08363999999999999,0.33812,0.02531,-0.29594999999999994,-0.32126,-0.7234,-0.7883,-0.06489999999999996,-0.06200999999999998,-0.41931000000000007,-0.35730000000000006,-0.23016799999999998,-0.491258,-0.26109,-0.13698,-0.07477,0.06220999999999999,0.17099999999999999,-0.25905,-0.43005,-0.36727,-0.8661700000000001,-0.49890000000000007,-0.10625,-0.43583000000000005,-0.32958000000000004,-0.06463000000000002,-0.11308000000000001,-0.04844999999999999,-0.02015,-0.15962999999999994,-0.13947999999999994,-0.22898000000000002,-0.42204,-0.19306,-0.09654000000000001,-0.39754,-0.301,-0.52883,-0.6049100000000001,-0.07608000000000004,-0.27888900000000005,-0.39010900000000004,-0.11121999999999999,0.16714,-0.10025999999999996,-0.26739999999999997,-0.38615999999999995,-0.10376999999999997,0.28239,0.30782,-0.0889700000000001,-0.3967900000000001
8,0.37254,-0.08333000000000002,-0.45587,-0.30279200000000006,-0.729982,-0.42718999999999996,-0.0276,0.053297,0.080897,-0.9736499999999999,-0.83705,0.1366,-0.209483,-0.08599100000000001,0.12349199999999999,-0.348338,-0.331748,0.016589999999999994,-0.39988,-0.79032,-0.39044,-0.096834,0.17815599999999998,0.27498999999999996,-1.37194,-1.2299799999999999,0.14196000000000003,-0.73359,-0.7269399999999999,0.006650000000000045,-0.40924000000000005,-0.74336,-0.33412000000000003,-0.186493,0.26544,0.45193300000000003,-0.67613,-0.52667,0.14945999999999998,-0.50639,-0.33229,0.17409999999999998,-0.519787,-0.613727,-0.09394000000000002,-0.367617,-0.340097,0.027520000000000044,-0.5014074000000001,-0.4303474,0.07106000000000001,-0.273372,-0.168817,0.104555,-0.20757599999999998,-0.03381999999999999,0.173756,-0.04197000000000001,0.18162,0.22359,-0.08543,0.04629,0.13172,-0.22058,-0.20250999999999997,0.01807000000000003
9,-0.48239000000000004,0.07916000000000001,0.56155,-0.51374,-0.12639999999999998,0.38733999999999996,-0.82883,-0.38718,0.44165,-1.17239,-0.62212,0.55027,-0.26188,0.201963,0.463843,-0.7137199999999999,-0.45563,0.25809,-0.68891,-0.50186,0.18705000000000005,-0.82888,-0.23900000000000002,0.58988,-0.46555700000000005,0.126802,0.5923590000000001,-0.73899,-0.62963,0.10936000000000001,-0.39677,-0.25362999999999997,0.14314000000000004,-0.625686,-0.292706,0.33298,-0.624054,0.0100756,0.6341296000000001,-0.56458,-0.47797,0.08660999999999996,-0.6865370000000001,-0.735827,-0.049289999999999945,-0.63133,-0.26849,0.36283999999999994,-0.477182,-0.299392,0.17779,-1.42438,-0.9582999999999999,0.46607999999999994,-0.749031,-0.22466099999999997,0.52437,-0.44383300000000003,-0.062556,0.38127700000000003,0.17213999999999996,0.622465,0.45032500000000003,-0.74284,-0.41185,0.33099
10,-0.11613999999999997,-0.14919,-0.033050000000000024,-0.26465,-0.0893,0.17535,0.15046700000000002,0.02756,-0.12290700000000002,-0.16534500000000002,-0.48113,-0.315785,-0.2265572,-0.0966932,0.12986399999999998,-0.22481,-0.2659,-0.041090000000000015,-0.38155,-0.35652999999999996,0.025020000000000042,0.42507900000000004,0.41936700000000005,-0.005712000000000009,0.318703,0.152246,-0.16645700000000002,-0.784265,-0.855865,-0.0716,-0.04951,-0.23954999999999999,-0.19004,0.31659,0.37222,0.05563,0.26697000000000004,0.236074,-0.030896000000000007,-0.34762,-0.20509,0.14253,0.13532999999999995,0.42603,0.29070000000000007,-0.024740000000000012,-0.05262,-0.027879999999999988,-0.819454,-0.5312239999999999,0.2882300000000001,0.09911,-0.10224799999999999,-0.20135799999999998,0.2288834,0.149967,-0.07891640000000001,0.5936,0.44525000000000003,-0.14834999999999998,0.36595099999999997,0.05460999999999999,-0.311341,-0.04038999999999998,-0.01579999999999998,0.02459
11,-0.255321,-0.448161,-0.19283999999999996,-0.83207,-1.03275,-0.20068000000000008,-0.49965,-1.14568,-0.64603,-0.11163000000000001,-0.46167,-0.35004,0.27696999999999994,-0.04417000000000004,-0.32114,0.32203000000000004,0.07298000000000004,-0.24905,-0.2583500000000001,-0.06193000000000004,0.19642000000000004,-0.0726,0.09937000000000007,0.17197000000000007,-0.20541700000000002,-0.746807,-0.5413899999999999,-0.08088999999999999,-0.10915,-0.028260000000000007,-0.33556,-0.16652,0.16904000000000002,-0.4299,-0.75562,-0.32572,-0.474412,-0.876452,-0.40204,-0.577164,-0.759084,-0.18191999999999997,-0.581229,-0.704209,-0.12297999999999998,-0.21951,-0.46221,-0.24270000000000003,-0.58289,-1.00149,-0.41859999999999997,-0.32816999999999996,-0.87452,-0.54635,-0.64037,-0.8907799999999999,-0.25040999999999997,0.24433000000000005,0.001080000000000081,-0.24324999999999997,0.37788999999999995,0.014899999999999913,-0.36299000000000003,0.43457999999999997,0.18413999999999997,-0.25044
12,-0.48922,-0.29586,0.19335999999999998,0.032440000000000024,0.20325000000000004,0.17081000000000002,-0.44150999999999996,-0.26376999999999995,0.17774,-0.29022000000000003,-0.16725999999999996,0.12296000000000007,0.074799,-0.027504,-0.102303,-0.30918999999999996,-0.06927999999999998,0.23991,-0.6618240000000001,-0.8299240000000001,-0.16810000000000003,-0.58919,-0.08476000000000003,0.5044299999999999,-0.49654999999999994,-0.41464,0.08190999999999998,0.18248000000000003,0.25261,0.07012999999999997,-0.282568,-0.0697095,0.21285849999999998,-0.38212999999999997,-0.22018,0.16194999999999998,-0.11636000000000002,0.12236000000000002,0.23872000000000004,0.10468,-0.09882000000000002,-0.20350000000000001,-0.14923999999999998,0.03542000000000001,0.18466,-0.21127,-0.09924000000000005,0.11202999999999996,-0.23014000000000007,-0.35514000000000007,-0.125,-0.05366000000000001,0.025430000000000008,0.07909000000000002,-0.06106,0.22362,0.28468000000000004,0.068192,-0.048334999999999996,-0.11652699999999999,-0.35525,-0.07672000000000001,0.27853,0.00879000000000002,0.07512,0.06632999999999999
13,0.5862499999999999,0.55972,-0.026529999999999998,0.22724999999999995,0.08009,-0.14715999999999996,0.44843000000000005,0.09221000000000001,-0.35622000000000004,0.13809999999999995,-0.17871000000000004,-0.31681,0.06913000000000002,0.13615000000000002,0.06702,0.12188000000000002,-0.01810999999999996,-0.13998999999999998,-0.15333999999999992,0.19433999999999996,0.3476799999999999,0.39779999999999993,0.45907999999999993,0.06128000000000003,0.29123999999999994,0.37376,0.08252000000000001,-0.12187000000000003,0.17968999999999996,0.30156,-0.1069,0.23867000000000005,0.34557000000000004,-0.006970000000000032,0.04441999999999996,0.05138999999999999,0.16507000000000005,0.16083999999999998,-0.004230000000000067,0.25259000000000004,0.32309000000000004,0.07050000000000001,0.11164999999999992,0.30967,0.19802000000000008,0.14738,0.19129000000000002,0.043910000000000005,0.09984000000000004,0.21203000000000005,0.11219000000000001,-0.07706999999999997,-0.15702,-0.07995000000000002,0.12132000000000001,0.21883000000000002,0.09751,0.20828999999999998,0.26795,0.05966000000000002,0.14303,0.04199000000000003,-0.10103999999999996,0.17927000000000004,0.47829,0.29901999999999995
14,0.52067,0.73936,0.21869,0.382175,0.24356,-0.138615,0.02618999999999999,-0.05568000000000006,-0.08187000000000005,-0.14561000000000002,-0.40179,-0.25617999999999996,0.2457,-0.004039999999999988,-0.24974,0.10153000000000001,-0.05182999999999999,-0.15336,0.39882,0.19069000000000003,-0.20812999999999998,0.26721,0.31159000000000003,0.04438,0.31432000000000004,0.46180200000000005,0.147482,0.6346099999999999,0.47644999999999993,-0.15816000000000002,0.14679000000000003,0.4538087,0.3070187,-0.04530000000000001,0.13445000000000001,0.17975000000000002,0.11521999999999999,0.26274699999999995,0.147527,0.59214,0.42837,-0.16377,0.28557,0.31366000000000005,0.028090000000000004,0.19600999999999996,0.22194999999999998,0.02594000000000002,-0.17257,-0.06645999999999996,0.10611000000000004,0.19505999999999998,0.28278,0.08771999999999999,0.026269999999999988,0.189834,0.163564,0.25827,0.23811,-0.020159999999999997,0.09931000000000001,0.16264,0.06333000000000001,-0.13015,0.35095000000000004,0.4811
15,0.48358999999999996,0.36207,-0.12151999999999999,0.52798,0.47907,-0.04891000000000001,0.33516999999999997,0.11195999999999995,-0.22321000000000002,0.6041099999999999,0.50259,-0.10152,0.13537,0.30952,0.17415,0.17107,0.2942092,0.1231392,0.09152000000000005,0.56147,0.46995,0.21754999999999997,0.22770999999999997,0.010160000000000002,0.24728,0.44333999999999996,0.19605999999999998,0.526098,0.695989,0.16989100000000001,0.06266,0.298873,0.236213,0.28015,0.41978,0.13962999999999998,0.04203000000000001,0.52299,0.48095999999999994,0.4046,0.25239999999999996,-0.15220000000000006,0.04921999999999993,0.25297,0.20375000000000004,0.27964,0.35297999999999996,0.07333999999999996,0.49859,0.22574000000000005,-0.2728499999999999,0.35775,0.434616,0.076866,0.320302,0.23628,-0.08402200000000001,0.26871999999999996,0.42142,0.15270000000000003,-0.08196000000000003,0.20141999999999993,0.28337999999999997,0.33071,0.15808,-0.17263
16,0.28581999999999996,0.55745,0.27163000000000004,-0.16069,0.45287,0.61356,0.27739,0.17335,-0.10404000000000002,-0.07635000000000003,0.20792,0.28427,-0.40511,-0.12380999999999998,0.28130000000000005,-0.03791,0.1486,0.18651,-0.05645,0.36727,0.42372,0.3511,0.43803000000000003,0.08693000000000001,0.08615000000000006,0.28464000000000006,0.19849,0.021710000000000007,0.01212000000000002,-0.009589999999999987,0.17852999999999997,0.17278999999999994,-0.005740000000000023,0.2708,0.48106,0.21026,0.02063999999999999,0.22001000000000004,0.19937000000000005,-0.10234999999999994,-0.11880999999999997,-0.01646000000000003,0.26375000000000004,0.14475000000000005,-0.119,0.05908000000000002,0.22215000000000001,0.16307,0.4245300000000001,0.69278,0.26824999999999993,-0.07760999999999998,0.06217,0.13978,0.24594000000000002,0.33087,0.08492999999999998,-0.26293,-0.12284999999999996,0.14008000000000004,-0.07401000000000002,0.16258999999999996,0.23659999999999998,0.06782999999999995,0.12141999999999997,0.053590000000000027
17,0.33824,0.29338,-0.04486000000000001,0.40541999999999995,0.15345999999999993,-0.25196,-0.1261899999999999,-0.06955,0.05663999999999991,-0.2921,0.09344999999999998,0.38555,0.12056,-0.13774999999999993,-0.25830999999999993,-0.08756000000000003,0.21426,0.30182000000000003,0.73994,0.06279999999999997,-0.6771400000000001,0.13377999999999995,0.026459999999999928,-0.10732000000000003,0.047740000000000005,0.164418,0.116678,0.27377,-0.08001999999999998,-0.35379,0.38339999999999996,0.499254,0.11585400000000001,0.1905,-0.17053000000000001,-0.36103,0.159363,0.14425290000000002,-0.0151101,0.41006,-0.17678000000000005,-0.58684,0.63973,0.49759,-0.14214000000000002,0.21107000000000004,0.13536000000000004,-0.07571,0.27019000000000004,0.31103000000000003,0.04083999999999999,0.15738000000000008,-0.13229000000000002,-0.2896700000000001,0.26965,0.32145999999999997,0.05180999999999997,0.04133000000000003,0.19412000000000001,0.15278999999999998,0.09090999999999999,0.004709999999999992,-0.0862,0.2664,0.6287670000000001,0.362367
